Intercept,scale(CRIM),scale(I(CRIM ** 2)),scale(ZN),scale(I(ZN ** 2)),scale(INDUS),scale(NOX),scale(RM),scale(AGE),scale(np.log(DIS)),scale(RAD),scale(TAX),scale(np.log(PTRATIO)),scale(B),scale(np.log(LSTAT)),CHAS,MEDV
1.0,-0.41978193864600816,-0.16947389732596851,0.2848298609673554,-0.19103018565496327,-1.2879094989577449,-0.1442174325553071,0.41367188930175697,-0.12001341619805146,0.40910428151480716,-0.9828428567665056,-0.6666082090210981,-1.4439769622960101,0.4410519326070325,-1.2752602631897927,0.0,24.0
1.0,-0.41733926449352843,-0.16947252064604093,-0.4877223646701293,-0.36888890591516377,-0.5933810131002404,-0.7402622069004976,0.19427445318162645,0.3671664185317732,0.7695615564627544,-0.8678825041257632,-0.987329484963,-0.2302781370052882,0.4410519326070325,-0.26371063957425334,0.0,21.6
1.0,-0.4173415919581806,-0.16947252277573052,-0.4877223646701293,-0.36888890591516377,-0.5933810131002404,-0.7402622069004976,1.2827136817256501,-0.265811760898218,0.7695615564627544,-0.8678825041257632,-0.987329484963,-0.2302781370052882,0.39642699409025545,-1.6278580839092884,0.0,34.7
1.0,-0.41675041593652284,-0.16947193170339153,-0.4877223646701293,-0.36888890591516377,-1.3068777139076349,-0.8352838375932087,1.0163025092940638,-0.8098885106329857,1.1391937527944174,-0.7529221514850207,-1.10611514271926,0.16527854857291754,0.41616283913453045,-2.153192450046535,0.0,33.4
1.0,-0.4124818457643952,-0.1694646765498544,-0.4877223646701293,-0.36888890591516377,-1.3068777139076349,-0.8352838375932087,1.2285766520336707,-0.5111797068570347,1.1391937527944174,-0.7529221514850207,-1.10611514271926,0.16527854857291754,0.4410519326070325,-1.1621140793824678,0.0,36.2
1.0,-0.41704367648269947,-0.16947223749405552,-0.4877223646701293,-0.36888890591516377,-1.3068777139076349,-0.8352838375932087,0.20709638126656835,-0.3511571334056325,1.1391937527944174,-0.7529221514850207,-1.10611514271926,0.16527854857291754,0.410571016371986,-1.2000475881898414,0.0,28.7
1.0,-0.4102428247689826,-0.16945877266487422,0.04877223646701286,-0.2831159891230146,-0.4766535364855337,-0.26515405343694,-0.388410945345215,-0.07022861556872663,0.9789291214610116,-0.5230014462035358,-0.5775189657039032,-1.496563280101801,0.42679826674172333,0.2484564597329976,0.0,22.9
1.0,-0.3959347358196073,-0.16938694983147318,0.04877223646701286,-0.2831159891230146,-0.4766535364855337,-0.26515405343694,-0.9312059009411217,1.117494485159459,1.1452738656581378,-0.5230014462035358,-0.5775189657039032,-1.496563280101801,0.3284479722710865,1.7123118457155855,0.0,16.5
1.0,-0.4007293130031312,-0.16941758603284282,0.04877223646701286,-0.2831159891230146,-0.4766535364855337,-0.26515405343694,-0.3998082147540529,0.6160904216783989,1.2946615688732424,-0.5230014462035358,-0.5775189657039032,-1.496563280101801,0.32932512093972083,0.7798024528722056,0.0,18.9
1.0,-0.3943462411944835,-0.16937533956233564,0.04877223646701286,-0.2831159891230146,-0.4766535364855337,-0.26515405343694,0.131589471433017,0.9147992254543494,1.2242792933261366,-0.5230014462035358,-0.5775189657039032,-1.496563280101801,0.393028042999297,1.0778288190424345,0.0,15.0
1.0,-0.40684705384142855,-0.1694470631227517,0.04877223646701286,-0.2831159891230146,-0.4766535364855337,-0.26515405343694,-0.3926849213735281,0.5094087060441307,1.1888655069101346,-0.5230014462035358,-0.5775189657039032,-1.496563280101801,0.4410519326070325,0.35739072325404264,0.0,18.9
1.0,-0.40960393572195475,-0.1694568232493912,0.04877223646701286,-0.2831159891230146,-0.4766535364855337,-0.26515405343694,-0.5636439625060976,-1.0517003994039935,0.941996254613793,-0.5230014462035358,-0.5775189657039032,-1.496563280101801,0.3708800391162776,0.6385707446536699,0.0,21.7
1.0,-0.3472302105077525,-0.16870050460884894,-0.4877223646701293,-0.36888890591516377,-0.43725801312807017,-0.1442174325553071,-0.4781644419398135,-0.24091936058355556,0.6699736508721352,-0.6379617988442783,-0.6012760972551551,1.0955184670559908,0.4410519326070325,-0.43235341070505773,0.0,20.4
1.0,-0.3462759500003521,-0.16868023100907348,-0.4877223646701293,-0.36888890591516377,-0.43725801312807017,-0.1442174325553071,-0.26873961655241574,0.5663056210490736,0.5705654996937012,-0.6379617988442783,-0.6012760972551551,1.0955184670559908,0.25597356352516587,-0.07115195767519822,0.0,18.2
